,grupo,nivel,comp_destino,comp_especif,sueldo,fmr,c4%,total,media_compl_especif,salario_total
180,A2,22.0,8291.78,24334.38,14992.66,694.96,0.0,48313.78,19566.500930232563,42850.940930232566
181,A2,22.0,8291.78,24488.940000000002,14992.66,694.96,0.0,48468.340000000004,19566.500930232563,42850.940930232566
182,A2,22.0,8291.78,24964.38,14992.66,694.96,0.0,48943.78,19566.500930232563,42850.940930232566
183,A2,22.0,8291.78,25135.74,14992.66,694.96,0.0,49115.14,19566.500930232563,42850.940930232566
184,A2,22.0,8291.78,28367.78,14992.66,694.96,0.0,52347.18,19566.500930232563,42850.940930232566
185,A2,22.0,8291.78,30840.18,14992.66,694.96,0.0,54819.579999999994,19566.500930232563,42850.940930232566
186,A2,22.0,8291.78,31397.940000000002,14992.66,694.96,0.0,55377.340000000004,19566.500930232563,42850.940930232566
187,A2,23.0,8886.5,17092.18,14992.66,694.96,0.0,41666.299999999996,24076.330526315793,47955.49052631579
188,A2,23.0,8886.5,17707.62,14992.66,694.96,0.0,42281.74,24076.330526315793,47955.49052631579
189,A2,23.0,8886.5,20143.76,14992.66,694.96,0.0,44717.88,24076.330526315793,47955.49052631579
190,A2,23.0,8886.5,21877.8,14992.66,694.96,0.0,46451.92,24076.330526315793,47955.49052631579
191,A2,23.0,8886.5,21991.34,14992.66,694.96,0.0,46565.46,24076.330526315793,47955.49052631579
192,A2,23.0,8886.5,24464.86,14992.66,694.96,0.0,49038.98,24076.330526315793,47955.49052631579
193,A2,23.0,8886.5,24514.559999999998,14992.66,694.96,0.0,49088.68,24076.330526315793,47955.49052631579
194,A2,23.0,8886.5,24531.5,14992.66,694.96,0.0,49105.62,24076.330526315793,47955.49052631579
195,A2,23.0,8886.5,25054.960000000003,14992.66,694.96,0.0,49629.08,24076.330526315793,47955.49052631579
196,A2,23.0,8886.5,25104.66,14992.66,694.96,0.0,49678.78,24076.330526315793,47955.49052631579
197,A2,23.0,8886.5,25135.74,14992.66,694.96,0.0,49709.86,24076.330526315793,47955.49052631579
198,A2,23.0,8886.5,25161.36,14992.66,694.96,0.0,49735.48,24076.330526315793,47955.49052631579
199,A2,23.0,8886.5,25178.3,14992.66,694.96,0.0,49752.42,24076.330526315793,47955.49052631579
200,A2,23.0,8886.5,25456.34,14992.66,694.96,0.0,50030.46,24076.330526315793,47955.49052631579
201,A2,23.0,8886.5,25713.100000000002,14992.66,694.96,0.0,50287.22,24076.330526315793,47955.49052631579
202,A2,23.0,8886.5,26103.14,14992.66,694.96,0.0,50677.26,24076.330526315793,47955.49052631579
203,A2,23.0,8886.5,26862.64,14992.66,694.96,0.0,51436.76,24076.330526315793,47955.49052631579
204,A2,23.0,8886.5,27093.22,14992.66,694.96,0.0,51667.340000000004,24076.330526315793,47955.49052631579
205,A2,23.0,8886.5,28263.2,14992.66,694.96,0.0,52837.32,24076.330526315793,47955.49052631579
206,A2,24.0,9480.1,17377.22,14992.66,694.96,0.0,42544.94,29759.593888888892,54232.353888888894
207,A2,24.0,9480.1,18562.460000000003,14992.66,694.96,0.0,43730.18,29759.593888888892,54232.353888888894
208,A2,24.0,9480.1,18573.66,14992.66,694.96,0.0,43741.38,29759.593888888892,54232.353888888894
209,A2,24.0,9480.1,21074.34,14992.66,694.96,0.0,46242.060000000005,29759.593888888892,54232.353888888894
210,A2,24.0,9480.1,22954.960000000003,14992.66,694.96,0.0,48122.68,29759.593888888892,54232.353888888894
211,A2,24.0,9480.1,23318.399999999998,14992.66,694.96,0.0,48486.12,29759.593888888892,54232.353888888894
212,A2,24.0,9480.1,25466.84,14992.66,694.96,0.0,50634.560000000005,29759.593888888892,54232.353888888894
213,A2,24.0,9480.1,25655.0,14992.66,694.96,0.0,50822.72,29759.593888888892,54232.353888888894
214,A2,24.0,9480.1,26641.440000000002,14992.66,694.96,0.0,51809.16,29759.593888888892,54232.353888888894
215,A2,24.0,9480.1,27269.48,14992.66,694.96,0.0,52437.200000000004,29759.593888888892,54232.353888888894
216,A2,24.0,9480.1,27755.7,14992.66,694.96,0.0,52923.420000000006,29759.593888888892,54232.353888888894
217,A2,24.0,9480.1,27916.28,14992.66,694.96,0.0,53084.0,29759.593888888892,54232.353888888894
218,A2,24.0,9480.1,28451.08,14992.66,694.96,0.0,53618.8,29759.593888888892,54232.353888888894
219,A2,24.0,9480.1,28536.059999999998,14992.66,694.96,0.0,53703.78,29759.593888888892,54232.353888888894
220,A2,24.0,9480.1,28733.46,14992.66,694.96,0.0,53901.18,29759.593888888892,54232.353888888894
221,A2,24.0,9480.1,28947.38,14992.66,694.96,0.0,54115.1,29759.593888888892,54232.353888888894
222,A2,24.0,9480.1,29056.579999999998,14992.66,694.96,0.0,54224.299999999996,29759.593888888892,54232.353888888894
223,A2,24.0,9480.1,29268.260000000002,14992.66,694.96,0.0,54435.98,29759.593888888892,54232.353888888894
224,A2,24.0,9480.1,29380.260000000002,14992.66,694.96,0.0,54547.98,29759.593888888892,54232.353888888894
225,A2,24.0,9480.1,29805.019999999997,14992.66,694.96,0.0,54972.74,29759.593888888892,54232.353888888894
226,A2,24.0,9480.1,29915.059999999998,14992.66,694.96,0.0,55082.78,29759.593888888892,54232.353888888894
227,A2,24.0,9480.1,30451.82,14992.66,694.96,0.0,55619.54,29759.593888888892,54232.353888888894
228,A2,24.0,9480.1,30659.859999999997,14992.66,694.96,0.0,55827.579999999994,29759.593888888892,54232.353888888894
229,A2,24.0,9480.1,31001.18,14992.66,694.96,0.0,56168.9,29759.593888888892,54232.353888888894
230,A2,24.0,9480.1,31679.899999999998,14992.66,694.96,0.0,56847.62,29759.593888888892,54232.353888888894
231,A2,24.0,9480.1,32372.62,14992.66,694.96,0.0,57540.340000000004,29759.593888888892,54232.353888888894
232,A2,24.0,9480.1,32465.16,14992.66,694.96,0.0,57632.88,29759.593888888892,54232.353888888894
233,A2,24.0,9480.1,32613.559999999998,14992.66,694.96,0.0,57781.28,29759.593888888892,54232.353888888894
234,A2,24.0,9480.1,33159.420000000006,14992.66,694.96,0.0,58327.14000000001,29759.593888888892,54232.353888888894
235,A2,24.0,9480.1,34818.84,14992.66,694.96,0.0,59986.56,29759.593888888892,54232.353888888894
236,A2,24.0,9480.1,36103.619999999995,14992.66,694.96,0.0,61271.34,29759.593888888892,54232.353888888894
237,A2,24.0,9480.1,36164.1,14992.66,694.96,0.0,61331.82,29759.593888888892,54232.353888888894
238,A2,24.0,9480.1,36734.880000000005,14992.66,694.96,0.0,61902.600000000006,29759.593888888892,54232.353888888894
239,A2,24.0,9480.1,38809.68,14992.66,694.96,0.0,63977.4,29759.593888888892,54232.353888888894
240,A2,24.0,9480.1,43657.6,14992.66,694.96,0.0,68825.32,29759.593888888892,54232.353888888894
241,A2,24.0,9480.1,45994.200000000004,14992.66,694.96,0.0,71161.92000000001,29759.593888888892,54232.353888888894
242,A2,26.0,11355.12,28621.600000000002,14992.66,694.96,0.0,55664.340000000004,32744.164444444443,59091.94444444444
243,A2,26.0,11355.12,29169.28,14992.66,694.96,0.0,56212.02,32744.164444444443,59091.94444444444
244,A2,26.0,11355.12,29759.38,14992.66,694.96,0.0,56802.12,32744.164444444443,59091.94444444444
245,A2,26.0,11355.12,29816.079999999998,14992.66,694.96,0.0,56858.82,32744.164444444443,59091.94444444444
246,A2,26.0,11355.12,29925.980000000003,14992.66,694.96,0.0,56968.72,32744.164444444443,59091.94444444444
247,A2,26.0,11355.12,29975.96,14992.66,694.96,0.0,57018.7,32744.164444444443,59091.94444444444
248,A2,26.0,11355.12,30160.899999999998,14992.66,694.96,0.0,57203.63999999999,32744.164444444443,59091.94444444444
249,A2,26.0,11355.12,30223.760000000002,14992.66,694.96,0.0,57266.5,32744.164444444443,59091.94444444444
250,A2,26.0,11355.12,30633.399999999998,14992.66,694.96,0.0,57676.13999999999,32744.164444444443,59091.94444444444
251,A2,26.0,11355.12,30870.559999999998,14992.66,694.96,0.0,57913.299999999996,32744.164444444443,59091.94444444444
252,A2,26.0,11355.12,31044.16,14992.66,694.96,0.0,58086.9,32744.164444444443,59091.94444444444
253,A2,26.0,11355.12,31578.96,14992.66,694.96,0.0,58621.7,32744.164444444443,59091.94444444444
254,A2,26.0,11355.12,31634.260000000002,14992.66,694.96,0.0,58677.0,32744.164444444443,59091.94444444444
255,A2,26.0,11355.12,31659.600000000002,14992.66,694.96,0.0,58702.340000000004,32744.164444444443,59091.94444444444
256,A2,26.0,11355.12,31681.16,14992.66,694.96,0.0,58723.9,32744.164444444443,59091.94444444444
257,A2,26.0,11355.12,32035.78,14992.66,694.96,0.0,59078.52,32744.164444444443,59091.94444444444
